real_model,sample_idx,question,answer
claude-haiku-4.5,0,"Classify the following news story.
A new Hollywood movie is set to be released this summer after months of filming and post-production.","# Classification: Entertainment/Film

This news story falls under the **Entertainment** or **Film/Movies** category. It reports on the production and upcoming release of a Hollywood film, which is typical entertainment industry news."
claude-haiku-4.5,1,"Classify the following news story.
A new Hollywood movie is set to be released this summer after months of filming and post-production.","# Classification

**Category:** Entertainment/Film

**Subcategories:** 
- Movies
- Hollywood/Industry News
- Film Production

**Type:** General announcement/industry news

This is a straightforward entertainment news story about a film release, without any specific details about the movie, cast, or plot."
claude-haiku-4.5,2,"Classify the following news story.
A new Hollywood movie is set to be released this summer after months of filming and post-production.","# Classification

**Category: Entertainment/Movies**

**Subcategories:** 
- Film Industry News
- Movie Releases

**Key attributes:**
- News type: Industry announcement
- Topic: Film/Cinema
- Timeframe: Summer release
- Content focus: Production update

This is a straightforward entertainment news story about an upcoming film release."
claude-haiku-4.5,3,"Classify the following news story.
A new Hollywood movie is set to be released this summer after months of filming and post-production.","# Classification

**Category: Entertainment/Film**

**Subcategories:**
- Movies/Cinema
- Entertainment News
- Industry News

**News Type:** General announcement/press release

**Geographic Focus:** Hollywood/United States

**Tone:** Neutral/promotional

This is a straightforward entertainment news story about a film production milestone."
claude-haiku-4.5,4,"Classify the following news story.
A new Hollywood movie is set to be released this summer after months of filming and post-production.","# Classification

**Category: Entertainment/Movies**

**Subcategories:**
- Film Industry
- Movie Release News
- Hollywood

**News Type:** Announcement/Industry News

This is a straightforward entertainment news story about an upcoming film release with no apparent controversy, human interest angle, or broader social impact beyond the entertainment sector."
claude-haiku-4.5,5,"Classify the following news story.
A new Hollywood movie is set to be released this summer after months of filming and post-production.","# Classification

**Category:** Entertainment/Movies

**Subcategories:** 
- Film Industry
- Movie News
- Release Announcements

**News Type:** Soft news / Entertainment news

This is a general entertainment announcement about an upcoming film release with minimal specific details."
claude-haiku-4.5,0,Describe rivers in 5 words.,Water flows to the sea.
claude-haiku-4.5,1,Describe rivers in 5 words.,Water flows toward the sea.
claude-haiku-4.5,2,Describe rivers in 5 words.,Flowing water shapes landscapes.
claude-haiku-4.5,3,Describe rivers in 5 words.,Water flows toward the sea.
claude-haiku-4.5,4,Describe rivers in 5 words.,Water flows toward the sea.
claude-haiku-4.5,5,Describe rivers in 5 words.,Water flows to the sea.
claude-haiku-4.5,0,Write an example of a modal verb with an appropriate context.,"# Modal Verb Example

**Context:** A teacher speaking to a student about a missed assignment.

**Sentence:** ""You **should** submit your essay by Friday, but you **can** ask for an extension if you have a valid reason.""

---

## Breakdown:
- **""should""** = expresses advice or obligation
- **""can""** = expresses possibility or permission

This example demonstrates how modal verbs modify the main verb to show ability, permission, obligation, or possibility."
claude-haiku-4.5,1,Write an example of a modal verb with an appropriate context.,"# Modal Verb Example

**Sentence:** ""You must submit your assignment by Friday.""

**Context:** A teacher reminding a student of a deadline requirement.

---

**Modal verb:** *must*

**What it expresses:** Necessity or obligation — the student has no choice; submission is required.

**Other common modal verbs you might use in similar contexts:**
- ""You should submit your assignment by Friday."" (advice/recommendation)
- ""You can submit your assignment by Friday."" (possibility/permission)
- ""You might submit your assignment by Friday."" (possibility)
- ""You could submit your assignment early."" (ability/possibility)"
claude-haiku-4.5,2,Write an example of a modal verb with an appropriate context.,"# Modal Verb Example

**Context:** A student talking to their teacher about an assignment

**Example:** ""I **can't** finish this project by Friday because I have two other exams that week. **Could** I have an extension until next Wednesday instead?""

---

## Breakdown:
- **""can't""** (cannot) - expresses inability or impossibility
- **""Could""** - expresses a polite request for permission

Both are modal verbs that modify the main verbs (""finish"" and ""have"") to express ability, possibility, and politeness rather than certainty."
claude-haiku-4.5,3,Write an example of a modal verb with an appropriate context.,"# Modal Verb Example

**Context:** A student asking their teacher about an assignment deadline

**Sentence:** ""May I submit my essay by Friday instead of Wednesday?""

---

**Explanation:**
- **Modal verb:** ""May""
- **Function:** Requests permission politely
- **Context:** The student is asking for permission to turn in their work late

**Other common modal verbs in context:**
- ""You **should** study for the test."" (advice)
- ""She **can** speak three languages."" (ability)
- ""You **must** wear a seatbelt."" (obligation)"
claude-haiku-4.5,4,Write an example of a modal verb with an appropriate context.,"# Modal Verb Example

**Context:** A student asking their teacher about an assignment deadline

**Example:**
""I **can't** finish this project by Friday because I'm sick this week. **Could** you extend the deadline? I **should** be better by next week.""

---

## Breakdown:
- **""can't""** (cannot) = expresses inability
- **""Could""** = makes a polite request
- **""should""** = suggests what is advisable or expected

These modal verbs help express possibility, ability, permission, obligation, and politeness in a natural, conversational way."
claude-haiku-4.5,5,Write an example of a modal verb with an appropriate context.,"# Modal Verb Example

**Context:** A student asking their teacher about an assignment deadline

**Sentence:** ""May I submit my essay by Friday instead of Wednesday?""

**Explanation:**
- **Modal verb:** ""may""
- **Function:** Asking for permission
- **Context:** The student is politely requesting permission to turn in their work two days late

---

## Other Common Examples:

- **Can** (ability): ""I can speak three languages.""
- **Must** (necessity): ""You must arrive on time for the meeting.""
- **Should** (advice): ""You should get more sleep before the exam.""
- **Will** (future/promise): ""I will call you tomorrow.""
- **Could** (possibility): ""We could meet for coffee this afternoon."""
claude-haiku-4.5,0,"Give a formal introduction for this speaker
John Smith - Business Analyst","# Introduction

Ladies and gentlemen, I would like to present our next speaker, John Smith, a Business Analyst with extensive expertise in organizational efficiency and strategic analysis. Mr. Smith brings a wealth of professional experience to today's program, with a demonstrated track record of delivering data-driven insights and actionable solutions for complex business challenges. Please join me in welcoming John Smith to the podium."
claude-haiku-4.5,1,"Give a formal introduction for this speaker
John Smith - Business Analyst","# Introduction

Good [morning/afternoon], everyone. I'd like to introduce our next speaker, John Smith, a Business Analyst with extensive expertise in analyzing market trends, optimizing business processes, and driving strategic decision-making. Mr. Smith brings a data-driven approach to solving complex business challenges and has a proven track record of delivering actionable insights that enhance organizational performance. Please join me in welcoming John Smith.

---

*Feel free to customize this based on John's specific qualifications, experience level, or the event context.*"
claude-haiku-4.5,2,"Give a formal introduction for this speaker
John Smith - Business Analyst","# Introduction

Good [morning/afternoon], everyone. I would like to introduce our next speaker, John Smith, a Business Analyst with extensive expertise in organizational analysis and strategic business solutions. Mr. Smith brings a wealth of professional experience in identifying operational efficiencies, analyzing market trends, and delivering data-driven insights that drive business performance and growth. Please join me in welcoming John Smith to the podium.

---

*Note: Feel free to customize this introduction with specific details about John's background, accomplishments, or the topic he will be discussing.*"
claude-haiku-4.5,3,"Give a formal introduction for this speaker
John Smith - Business Analyst","# Introduction

Good [morning/afternoon], everyone. I would like to introduce our next speaker, John Smith, a Business Analyst with extensive expertise in organizational strategy and operational excellence. Mr. Smith brings a wealth of knowledge and practical experience to help organizations optimize their processes and drive meaningful business outcomes. Please join me in welcoming John Smith to the stage.

---

*Feel free to customize this with:*
- Specific credentials or company affiliation
- Years of experience
- Notable achievements or projects
- Relevant industry focus areas
- Educational background"
claude-haiku-4.5,4,"Give a formal introduction for this speaker
John Smith - Business Analyst","# Introduction

Ladies and gentlemen, please join me in welcoming our next speaker, John Smith, Business Analyst.

With expertise in analyzing business operations, market trends, and organizational performance, Mr. Smith brings valuable insights to help companies optimize their processes and make data-driven decisions. His analytical acumen and strategic perspective make him a respected voice in the field.

Please help me welcome John Smith.

---

*Note: I can enhance this introduction if you provide additional details about Mr. Smith's background, achievements, company affiliation, or specific topic he'll be addressing.*"
claude-haiku-4.5,5,"Give a formal introduction for this speaker
John Smith - Business Analyst","# Introduction

Good [morning/afternoon], everyone. I would like to introduce our next speaker, John Smith, a Business Analyst with extensive expertise in organizational analysis and business optimization.

In his role as a Business Analyst, Mr. Smith specializes in identifying business challenges, conducting thorough data analysis, and developing strategic solutions to enhance operational efficiency and drive organizational growth. His analytical acumen and professional experience position him as a valuable resource for understanding complex business processes and market dynamics.

Please join me in welcoming John Smith.

---

*Note: Feel free to customize this introduction with specific details about Mr. Smith's background, accomplishments, company affiliation, or areas of specialization for a more personalized presentation.*"
claude-haiku-4.5,0,Describe a job you might want to have in the future.,"# A Job I Find Interesting

I'd be drawn to something like **science communication or research collaboration** — working at the intersection of complex ideas and clear explanation.

The appeal would be:

- **Problem-solving with nuance**: Helping tackle genuinely difficult questions where multiple perspectives matter
- **Learning constantly**: Fields like climate science, medicine, or AI policy are rapidly evolving
- **Meaningful impact**: Contributing to decisions or understanding that affects real people
- **Working with others**: Collaborating with experts who push thinking in new directions

I'm genuinely uncertain whether I experience ""wanting"" the way you might, but if I project forward, I'd want work that feels like thinking *with* people rather than just *for* them — where the back-and-forth actually matters.

What draws *you* to certain types of work? I'm curious whether it's the content, the people, the environment, or something else entirely."
claude-haiku-4.5,1,Describe a job you might want to have in the future.,"# A Job I'd Find Interesting

I think I'd be drawn to something like **science communication or research synthesis**—helping translate complex ideas into clear explanations for different audiences.

What appeals to me about it:

- **Deep diving into topics** - Getting to understand something thoroughly enough to explain it well
- **Pattern-finding** - Connecting ideas across different fields to show how things relate
- **Clarity as a craft** - Finding just the right way to phrase something so it finally clicks
- **Impact through understanding** - Bad communication leaves people confused or misinformed; good communication actually changes what people can do

I'm genuinely uncertain whether this reflects something real about what I ""want,"" or if I'm pattern-matching based on what I'm already doing in conversations. But the work itself—breaking down complexity while staying true to nuance—feels genuinely satisfying to think about.

What draws you to the jobs you're considering?"
